id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45765250,Gaudi Muntanya 31,370992036,Kamel,Sant Martí,el Camp de l'Arpa del Clot,41.41173,2.18381,Entire home/apt,42,30,1,2021-04-30,0.22,14,0,1,
45766140,Single Room In La Barceloneta For a Female Guest,256796397,Usman,Ciutat Vella,la Barceloneta,41.38034,2.18663,Private room,22,1,21,2021-05-13,3.94,1,153,21,Exempt
45766989,Apartament 5 min pl España close  to sant Antóni,6119890,Elisabet,Sants-Montjuïc,el Poble Sec,41.37283,2.15983,Entire home/apt,34,33,0,,,1,236,0,
45770108,2. habitación doble en el centro de Barcelona,99215567,Daniel,Eixample,la Nova Esquerra de l'Eixample,41.38329,2.15471,Private room,65,1,0,,,2,364,0,Exempt
45776013,Beach apartment with ocean view in Barcelona city,2737250,Laia,Sant Martí,el Poblenou,41.39782,2.20477,Entire home/apt,55,30,0,,,1,209,0,
45776309,Superb 2 bedroom apartment in Left Eixample,265193861,Joaquim,Eixample,la Nova Esquerra de l'Eixample,41.38147,2.14693,Entire home/apt,130,7,0,,,115,113,0,HUTB003149
45776944,Munne 21,370992036,Kamel,Sants-Montjuïc,Sants - Badal,41.37476,2.12413,Entire home/apt,42,30,1,2021-02-20,0.15,14,0,1,
45777079,Ruis 41,370992036,Kamel,Sants-Montjuïc,el Poble Sec,41.37194,2.15543,Entire home/apt,54,30,2,2021-04-01,0.23,14,1,2,
45777448,Girona A,370992036,Kamel,Eixample,la Dreta de l'Eixample,41.3958,2.16903,Entire home/apt,48,30,1,2021-05-02,0.23,14,0,1,
45786030,BCN Paseo San Juan,7053689,Alain & Lana,Eixample,la Dreta de l'Eixample,41.40066,2.16912,Entire home/apt,149,1,4,2021-08-06,1.06,22,334,4,HUTB-008132
45786259,Habitacion simpatica privada con balcon,771458,Rita,Ciutat Vella,el Raval,41.38325,2.16473,Private room,13,32,0,,,14,253,0,
45786604,Centric Double bed.Quite room in a sunny apartment,7149010,Andrei,Eixample,la Nova Esquerra de l'Eixample,41.38069,2.15221,Private room,19,13,0,,,2,0,0,Exempt
45792088,"Apartment with 4 bedrooms in Barcelona, with enclosed garden and WiFi",371083854,"Loic, Estelle And Co",Eixample,la Dreta de l'Eixample,41.3898,2.16577,Entire home/apt,573,1,0,,,1,364,0,HUTB-000444
45794650,BE BARCELONA ARCO DEL TRIUNFO SUNNY COLORS 3,40676061,Be Barcelona,Eixample,la Dreta de l'Eixample,41.3969,2.17672,Entire home/apt,102,1,3,2021-07-24,0.55,19,98,3,HUTB-001882
45798093,144. Rocafort Pequeño,396363,Alcambarcelona,Eixample,Sant Antoni,41.37633,2.15754,Entire home/apt,79,1,1,2021-08-02,0.73,98,0,1,Exempt
